id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.024987523,0.033576872,0.08521157,0.03357637
0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0035348162,0.0,0.035429038,0.033558644
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0017935857,0.018791111,0.040192958,0.05531677
0.csv_Day7_1h30m,0.0,0.0,0.002602823,0.041902147,0.022340165,0.030444017,0.031790167,0.0391288,0.027638322
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.010137618,0.04712351,0.06306909,0.06963197
0.csv_Day7_2h30m,0.0,0.0,0.0,0.006951906,0.00477656,0.012678251,0.07542219,0.033228632,0.029484417
0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.005713463,0.0019703284,0.058433183,0.030295614,0.068498
0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.04273118,0.035146687,0.009211,0.0,0.0562442
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.06956451,0.008994311,0.015754428,0.05919159
0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.030564759,0.0,0.057475574,0.024122255,0.030525558
0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.13111562,0.0,0.12213536,0.1667027
0.csv_Day7_5h30m,0.0,0.0,0.0,0.09893613,0.24312204,0.021377347,0.17134249,0.3555725,0.3234244
0.csv_Day7_6h00m,0.0,0.0,0.07766665,0.06647682,0.21409893,0.07900141,0.0,0.2917003,0.31758264
0.csv_Day7_6h30m,0.0,0.048567366,0.13648835,0.0,0.09963992,0.6395443,0.0,0.21157102,0.14264168
0.csv_Day7_7h00m,0.0,0.0,0.43422464,0.19543509,0.40089142,1.3477509,0.6350615,1.497361,1.1085804
0.csv_Day7_7h30m,0.35094345,0.0,0.91269916,1.1366009,2.6615002,3.6701965,3.4943683,5.3862224,5.0435452
0.csv_Day7_8h00m,2.9213648,3.172928,4.84856,5.8130374,8.905929,9.754292,9.465328,12.437065,12.748636
0.csv_Day7_8h30m,5.0118146,6.2784085,9.289417,11.078029,15.781716,16.724197,17.443893,19.731585,20.062267
0.csv_Day7_9h00m,6.9936213,9.051698,12.843216,15.306603,22.11433,23.578104,24.973019,27.238943,27.587633
0.csv_Day7_9h30m,8.74965,11.080593,15.97756,19.12424,27.891293,29.56414,31.921892,33.96449,34.72247
0.csv_Day7_10h00m,12.017652,15.435262,20.381699,24.17706,32.792828,34.80907,37.379425,40.061214,41.084164
0.csv_Day7_10h30m,12.801506,17.864895,23.202553,27.52914,36.99338,39.07241,42.13214,45.165154,46.680626
0.csv_Day7_11h00m,14.5470085,19.8589,26.843027,31.59851,41.12024,42.75231,45.364304,48.947094,50.709553
0.csv_Day7_11h30m,14.366328,20.344181,26.820915,31.630552,42.026814,44.164055,46.568993,50.58342,52.451725
0.csv_Day7_12h00m,15.184325,20.378277,26.430464,31.445269,41.30434,43.973167,47.040043,51.357857,53.78004
0.csv_Day7_12h30m,14.572697,19.722736,26.509382,31.327702,40.47063,43.346165,45.992096,50.283134,52.666653
0.csv_Day7_13h00m,12.539404,18.341509,24.304903,28.808422,38.013065,40.81452,43.792072,48.05505,50.37738
0.csv_Day7_13h30m,11.36274,15.956894,21.532095,25.664377,35.073776,37.61037,40.20111,44.369576,46.683796
0.csv_Day7_14h00m,9.036036,15.218934,21.680513,25.683231,32.59801,34.70704,36.20891,39.787266,42.033848
0.csv_Day7_14h30m,8.142681,12.088352,17.264526,20.538855,27.066015,28.938265,29.763803,33.79612,36.09164
0.csv_Day7_15h00m,5.559192,9.31638,13.363796,16.097818,21.593176,22.794163,23.200336,27.09881,29.129093
0.csv_Day7_15h30m,4.016021,6.2161493,9.406773,11.611526,15.171411,15.998351,16.165676,19.534567,21.452372
0.csv_Day7_16h00m,2.5766904,2.8452616,4.688254,6.0744824,8.350305,9.246122,8.972737,12.261325,13.635236
0.csv_Day7_16h30m,0.61159414,0.14502503,0.8977708,1.3940188,2.74566,3.408798,2.6609333,4.931712,6.044216
0.csv_Day7_17h00m,0.1343513,0.0,0.06880691,0.0851425,0.4380128,0.84583783,0.31199712,0.8757952,1.4628327
0.csv_Day7_17h30m,0.0,0.0,0.13679126,0.0,0.035497222,0.51637447,0.006176287,0.11224674,0.10008879
0.csv_Day7_18h00m,0.0,0.0,0.0,0.13221611,0.22896814,0.1375047,0.043985073,0.22355425,0.28843236
